	Feature	Degree Centrality	Betweenness Centrality	Eigenvector Centrality	Clustering Coefficient	Community
225	inter_2_VSAEstate5*QSOSW12	0.133949191685912	0.000288796518503769	0.113350757569814	0.871748336358137	Community 1
92	inter_2_slogPVSA0*QSOSW13	0.131639722863741	0.000112384101694318	0.105280422371877	0.825814536340852	Community 1
159	inter_2_MRVSA2*GearyAuto_Hydrophobicity17	0.124711316397229	7.89168874541959E-05	0.100867367532241	0.849056603773585	Community 1
106	inter_2_MRVSA2*RML	0.124711316397229	7.89168874541959E-05	0.100867367532241	0.849056603773585	Community 1
156	inter_2_MRVSA2*APAAC6	0.124711316397229	7.89168874541959E-05	0.100867367532241	0.849056603773585	Community 1
270	inter_2_MRVSA2*_PolarizabilityD1025	0.124711316397229	7.89168874541959E-05	0.100867367532241	0.849056603773585	Community 1
242	inter_2_slogPVSA1*LQM	0.115473441108545	0.000158703538954459	0.0956781926382925	0.830204081632653	Community 1
268	inter_2_slogPVSA1*MoreauBrotoAuto_Mutability16	0.115473441108545	0.000158703538954459	0.0956781926382925	0.830204081632653	Community 1
181	inter_2_slogPVSA1*KY	0.115473441108545	0.000158703538954459	0.0956781926382925	0.830204081632653	Community 1
85	inter_2_slogPVSA1*542	0.115473441108545	0.000158703538954459	0.0956781926382925	0.830204081632653	Community 1
111	inter_2_PEOEVSA0*MoranAuto_Steric18	0.113163972286374	9.39277382756701E-05	0.0936889044758917	0.892006802721089	Community 1
192	inter_2_PEOEVSA0*QSOSW10	0.113163972286374	9.39277382756701E-05	0.0936889044758917	0.892006802721089	Community 1
276	inter_2_PEOEVSA0*MoranAuto_Polarizability28	0.113163972286374	9.39277382756701E-05	0.0936889044758918	0.892006802721089	Community 1
238	inter_2_PEOEVSA0*LYA	0.113163972286374	9.39277382756701E-05	0.0936889044758918	0.892006802721089	Community 1
155	inter_2_PEOEVSA0*GearyAuto_ResidueASA27	0.113163972286374	9.39277382756701E-05	0.0936889044758917	0.892006802721089	Community 1
261	inter_2_PEOEVSA0*HP	0.113163972286374	9.39277382756701E-05	0.0936889044758918	0.892006802721089	Community 1
154	inter_2_PEOEVSA0*GearyAuto_ResidueASA3	0.113163972286374	9.39277382756701E-05	0.0936889044758917	0.892006802721089	Community 1
120	inter_2_PEOEVSA9*GearyAuto_ResidueVol13	0.0969976905311778	1.39405045224819E-05	0.0821772551664201	0.974448315911731	Community 1
180	inter_2_PEOEVSA9*_PolarityD3025	0.0969976905311778	1.39405045224819E-05	0.0821772551664201	0.974448315911731	Community 1
174	inter_2_PEOEVSA9*MoreauBrotoAuto_Hydrophobicity11	0.0969976905311778	1.39405045224819E-05	0.0821772551664201	0.974448315911731	Community 1
212	inter_2_MRVSA9*GearyAuto_Polarizability11	0.0854503464203233	1.06919852878282E-05	0.069268862585469	0.960960960960961	Community 1
220	inter_2_MRVSA9*KM	0.0854503464203233	1.06919852878282E-05	0.069268862585469	0.960960960960961	Community 1
126	inter_2_MRVSA9*taugrant45	0.0854503464203233	1.06919852878282E-05	0.069268862585469	0.960960960960961	Community 1
172	inter_2_VSAEstate4*taugrant23	0.0854503464203233	0.000425310576615225	0.0688688225864692	0.90990990990991	Community 1
176	inter_2_MRVSA9*MoranAuto_Hydrophobicity28	0.0854503464203233	1.06919852878282E-05	0.069268862585469	0.960960960960961	Community 1
160	inter_2_VSAEstate4*CA	0.0854503464203233	0.000425310576615225	0.0688688225864692	0.90990990990991	Community 1
271	inter_2_MRVSA9*GearyAuto_Steric25	0.0854503464203233	1.06919852878282E-05	0.069268862585469	0.960960960960961	Community 1
224	inter_2_MRVSA9*MoreauBrotoAuto_Polarizability26	0.0854503464203233	1.06919852878282E-05	0.069268862585469	0.960960960960961	Community 1
84	inter_2_VSAEstate4*712	0.0854503464203233	0.000425310576615225	0.0688688225864692	0.90990990990991	Community 1
73	VR2_DzZ	0.0646651270207852	0.0211220248030734	0.0162985639404391	0.455026455026455	Community 2
144	inter_2_VSAEstate0*VY	0.0623556581986143	0.00382956891032056	0.0278337138436027	0.666666666666667	Community 1
110	inter_2_slogPVSA6*MoranAuto_Polarizability21	0.0623556581986143	6.01424172440339E-06	0.0494801165957634	0.948717948717949	Community 1
132	inter_2_VSAEstate0*VM	0.0623556581986143	0.00382956891032056	0.0278337138436027	0.666666666666667	Community 1
54	VE1_D	0.0623556581986143	0.00754249920048652	0.0162939346764454	0.487179487179487	Community 2
279	inter_2_slogPVSA6*MoranAuto_FreeEnergy26	0.0623556581986143	6.01424172440339E-06	0.0494801165957634	0.948717948717949	Community 1
149	inter_2_VSAEstate0*466	0.0623556581986143	0.00382956891032056	0.0278337138436027	0.666666666666667	Community 1
260	inter_2_MRVSA4*YSI	0.0600461893764434	0.00605981291467185	0.00274986703106587	0.449230769230769	Community 3
197	inter_2_MRVSA4*MoreauBrotoAuto_Steric16	0.0600461893764434	0.00605981291467185	0.00274986703106587	0.449230769230769	Community 3
145	inter_2_slogPVSA4*IKA	0.0577367205542725	0.00437195311974156	0.00273796395685387	0.466666666666667	Community 3
231	inter_2_slogPVSA4*GearyAuto_Polarizability20	0.0577367205542725	0.00437195311974156	0.00273796395685387	0.466666666666667	Community 3
97	inter_2_EstateVSA9*I	0.0484988452655889	0.00301189298644822	0.0238482832872421	0.771428571428571	Community 1
91	inter_2_EstateVSA9*GearyAuto_Mutability8	0.0484988452655889	0.00301189298644822	0.0238482832872421	0.771428571428571	Community 1
93	inter_2_EstateVSA9*FLD	0.0484988452655889	0.00301189298644822	0.0238482832872421	0.771428571428571	Community 1
48	VE2_A	0.046189376443418	0.00321833958653367	0.0162126156589296	0.536842105263158	Community 2
59	ATS4p	0.0438799076212471	0.00490107794531699	0.00100261720346242	0.672514619883041	Community 2
43	LabuteASA	0.0415704387990762	0.00106994073065956	0.00100054811771086	0.784313725490196	Community 2
31	ATS0v	0.0392609699769053	0.00025611462480067	0.000997620703886964	0.830882352941176	Community 2
77	ATS2Z	0.0392609699769053	0.00025611462480067	0.000997620703886964	0.830882352941176	Community 2
30	C2SP3	0.0369515011547344	0.00795546348887014	0.000733898729934399	0.416666666666667	Community 2
3	Kier2	0.0369515011547344	0.000308444854417954	0.000973843189993387	0.875	Community 2
2	ATS4dv	0.0369515011547344	6.18181803227993E-05	0.000987712790357358	0.816666666666667	Community 2
81	Xc-3d	0.0369515011547344	1.96176389401948E-05	0.000985717629674958	0.883333333333333	Community 2
50	ZMIC2	0.0369515011547344	0.00154877844492594	0.000708070575830677	0.775	Community 2
55	SpDiam_Dzi	0.0369515011547344	0.000827321400680391	0.000723689332295127	0.866666666666667	Community 2
0	nRot	0.0346420323325635	0.000276729240503694	0.000711786258083122	0.923809523809524	Community 2
35	SpAD_Dzv	0.0346420323325635	0.000276729240503694	0.000711786258083122	0.923809523809524	Community 2
17	SpAD_DzZ	0.0346420323325635	0.000276729240503694	0.000711786258083122	0.923809523809524	Community 2
21	LogEE_Dzm	0.0346420323325635	0.000276729240503694	0.000711786258083122	0.923809523809524	Community 2
